Maker,State
Ajanta Manufacturing,Gujarat
Altigreen Propulsion Labs,Karnataka
Ampere Vehicles,Tamil Nadu
Ashok Leyland,Tamil Nadu
Ashok Leyland (EV Bus),Rajasthan
Ather Energy,Karnataka
Atul Auto,Gujarat
Audi India,Maharashtra
Bajaj Auto,Maharashtra
Bajaj Auto (EV),Maharashtra
Bharat Forge,Maharashtra
Bosch India,Karnataka
BYD India,Tamil Nadu
Citroën India,Tamil Nadu
Dilli Electric Auto Pvt Ltd,Delhi
Electrotherm India,Gujarat
Etrio Automobiles,Telangana
Euler Motors,Delhi
Exide Industries,West Bengal
Force Motors,Maharashtra
Gayam Motor Works,Telangana
Greaves Cotton,Maharashtra
Greaves Electric Mobility,Tamil Nadu
Hero Electric,Delhi
Hero MotoCorp,Haryana
Hindustan Motors,West Bengal
HOP Electric Mobility,Rajasthan
Hyundai Motor India,Tamil Nadu
JBM Auto,Haryana
Jezza Motors,West Bengal
JSW Energy,Maharashtra
Kia Motors India,Andhra Pradesh
Kinetic Green (3-Wheeler),Maharashtra
Kinetic Green Energy,Maharashtra
Lohia Auto Industries,Uttarakhand
Mahindra Electric,Karnataka
Mahindra Reva,Karnataka
Maruti Suzuki India,Haryana
Mercedes-Benz India,Maharashtra
MG Motor India,Gujarat
Minda Industries,Maharashtra
Okinawa Autotech,Rajasthan
Ola Electric,Tamil Nadu
Olectra Greentech,Telangana
Omega Seiki Mobility,Haryana
Piaggio Vehicles,Maharashtra
Renault India,Tamil Nadu
Revolt Motors,Haryana
Royal Enfield,Tamil Nadu
Saera Electric Auto,Rajasthan
Simple Energy,Karnataka
SML Isuzu,Punjab
Tata AutoComp Systems,Maharashtra
Tata Motors,Maharashtra
Tata Power,Maharashtra
Terra Motors India,Haryana
Triton Electric,Gujarat
TVS Electronics,Tamil Nadu
TVS Motor Company,Tamil Nadu
Volvo Eicher,Madhya Pradesh
YC Electric Vehicle,Delhi
